sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0,155;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;TitForTatAgentTB@202;TitForTatAgentTB@203;TimeDependentAgentConceder@204;TitForTatAgentTB@205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;4;Session genius.core.session.Session@256633f3 failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TitForTatAgentTB;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@5458c3e2 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TitForTatAgentTB;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;29;Session genius.core.session.Session@54423fa8 failed: Failed to execute protocol: null:[negotiator.parties.RandomCounterOfferNegotiationParty, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;RandomCounterOfferNegotiationParty;TitForTatAgentTB;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;27;Session genius.core.session.Session@4e0aa87f failed: Failed to execute protocol: null:[C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TitForTatAgentTB;TimeDependentAgentBoulware;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@2148284f failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TimeDependentAgentBoulware;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@69f64cb5 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TimeDependentAgentBoulware;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;53;Session genius.core.session.Session@514514ac failed: Failed to execute protocol: null:[negotiator.parties.RandomCounterOfferNegotiationParty, agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;RandomCounterOfferNegotiationParty;TimeDependentAgentBoulware;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;3;Session genius.core.session.Session@3864156e failed: Failed to execute protocol: null:[C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentConceder, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TitForTatAgentTB;TimeDependentAgentConceder;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@205f0c91 failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TimeDependentAgentConceder;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@220936d6 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, agents.TimeDependentAgentConceder, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TimeDependentAgentConceder;TimeDependentAgentConceder;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
